Simplified	Traditional	Pinyin	English	collocation	frequency	rank	level
个	個	gè	individual / unit	背包 答案  生词 世界 晚上 娃娃	1199580	12	A
出	齣	chū	measure word for dramas, plays, operas, etc	芭蕾舞 悲剧 京剧 闹剧 戏剧	755256	28	B1
对	對	duì	pair	翅膀 耳朵 夫妻 手镯	703632	33	B1
发	發	fā	round	炮弹 炸弹 子弹	572904	47	B2
道		dào	measure word for long things	 菜 点心 防线 光  难题 伤口	534695	52	A
行		háng	measure word for lines of text	词 泪 树 字	531848	53	B2
所		suǒ	measure word for houses, small buildings and institutions	博物馆 大学 小学 学校  医院	523028	54	A
家		jiā	measure word for families, companies, etc	报社 茶馆 厂商 电视台 商店 食堂	509790	56	A
成		chéng	one tenth	人口	499007	59	B1
方		fāng	measure word for square things	石碑 手帕 图章 砚台	492763	60	C
面		miàn	side / face	国旗 镜子 墙 旗子	425180	74	B1
部		bù	section / part / measure word for films	词典 电影 连续剧	403066	84	B1
样	樣	yàng	manner / pattern / shape	菜 点心 东西 工具 礼物 原料	398149	88	B1
本		běn	measure word for books	词典 工具书 画册 护照 讲义	388118	92	A
只	隻	zhī	measure word for birds and certain animals, one of a pair, etc	苍蝇 虫 大象  狗 狮子	370059	97	A
把		bǎ	measure word for chairs, bunches of things, etc	宝剑 铲子 刀子 扇子 手枪 雨伞	340730	110	A
间	間	jiān	measure word for rooms, houses, luggage, etc	病房 房子 教室 客厅 洗手间	292227	135	A
重		chóng	repetition / iteration / layer	顾虑 困难 山 阻力	282843	140	C
手		shǒu	measure word for things relating to skill	菜 绝活 字	280442	143	C
头	頭	tóu	measure word for heads of cattle, etc	大象 家畜 骆驼 牛 羊 猪	274911	147	A
代		dài	generation	人	231734	174	B2
位		wèi	measure word for people	博士 部长 成员  厨师 市长 作家	214983	182	A
门	門	mén	measure word for lessons, subjects, large guns, etc	功课 技术课程 学科 专业	212769	185	B1
通		tōng	measure word for actions, phone calls	报告 电话	209046	190	A
员	員	yuán	measure word for certain kinds of people	将 猛将 士兵	200217	200	B2
名		míng	measure word for people	编辑 法官 犯人工人 少女 研究生	198481	203	A
处	處	chù	location	笔误 场地 场所 风景 遗址	194237	206	B1
口		kǒu	measure word for people,pigs, and kitcheware	饭 棺材 汉语  井	191936	212	A
条	條	tiáo	measure word for long thin things	板凳  被子  鞭子 标题 街 血管	191280	214	A
打		dá	dozen	毛巾 铅笔 手套 纸	186146	223	B1
场	場	chǎng	an event	暴动 暴雨 悲剧 辩论 比赛 雨 	173632	249	B1
件		jiàn	measure word for clothes, luggage, etc	背心 大衣 雕刻 旗袍 行李 作品	172895	250	A
管		guǎn	measure word for tubular shapred things	毛笔 牙膏 油菜	170746	252	C
期		qī	measure word for things that can be divided into periods of time (sessions, etc)	画报 杂志	169806	253	B2
眼		yǎn	measure word for wells	井	152079	281	C
则	則	zé	measure word for short sections of text	启事 日记 试题 消息 新闻 寓言	149042	284	B1
记	記	jì	measure word for striking actions	耳光	139501	306	C
张	張	zhāng	sheet	便条 表格 病床 唱片 脸 桌子	136087	318	A
领	領	lǐng	measure word for banquets	席	130993	329	C
根		gēn	measure word for slender shaped things	棒棒糖 冰棒 管子 棍子竹子 柱子	120778	352	A
组	組	zǔ	a group	电池 雕塑 歌 画 镜头 诗 学生	119734	358	B1
服		fú	dressing	药	116961	365	C
台	臺	tái	measure word for electrical appliances, such as computers, televisions, etc	电脑 电视 机器 录音机 望远镜 洗衣机	109362	388	A
具		jù	measure word for devices, coffins, dead bodies, etc	棺材 木乃伊 尸体	108811	391	B2
团	團	tuán	group	火 军队 毛线 米饭 泥巴 云 纸	104151	405	B1
线	線	xiàn	thread / ray	亮光 生机 希望	98261	430	C
